,en,es,de,ja,fr,it,pt
,,,,,,,
CRMOREYETTOCOME,MORE YET TO COME,AÚN HAY MÁS POR VENIR,MEHR IST IN ARBEIT,まだまだこれから,ENCORE PLUS À VENIR,ANCORA MOLTO IN ARRIVO,
CRAREMAKEBY,A REMAKE BY,UN REMAKE DE,EIN REMAKE VON,リメイク制作,UN REMAKE DE,UN REMAKE DI,
CRLEXTALIONISENGINEBY,LEX TALIONIS ENGINE BY,MOTOR LEX TALIONIS DE,LEX-TALIONIS-ENGINE VON,Lex Talionis エンジン制作,MOTEUR LEX TALIONIS PAR,MOTORE LEX TALIONIS DI,
CRPROGRAMMING,PROGRAMMING,PROGRAMACIÓN,PROGRAMMIERUNG,プログラミング,PROGRAMMATION,PROGRAMMAZIONE,
CRPROGRAMMINGGODOT,PROGRAMMING (GODOT VERSION),PROGRAMACIÓN (VERSIÓN GODOT),PROGRAMMIERUNG (GODOT-VERSION),プログラミング（Godot版）,PROGRAMMATION (VERSION GODOT),PROGRAMMAZIONE (VERSIONE GODOT),
CRPROGRAMMINGLT,PROGRAMMING (LEX TALIONIS VERSION),PROGRAMACIÓN (VERSIÓN LEX TALIONIS),PROGRAMMIERUNG (LEX-TALIONIS-VERSION),プログラミング（Lex Talionis版）,PROGRAMMATION (VERSION LEX TALIONIS),PROGRAMMAZIONE (VERSIONE LEX TALIONIS),
CRTESTING,TESTING,PRUEBAS,TESTS,テストプレイ,TESTS,COLLAUDO,
CRMAPDESIGN,MAP DESIGN,DISEÑO DE MAPAS,KARTENDESIGN,マップデザイン,CONCEPTION DES CARTES,PROGETTAZIONE MAPPE,
CRINFORMATIONRESOURCES,INFORMATION RESOURCES,FUENTES DE INFORMACIÓN,INFORMATIONSQUELLEN,情報リソース,SOURCES D'INFORMATION,FONTI DI INFORMAZIONE,
CRMAPSPRITES,MAP SPRITES & CUSTOM CLASS CARDS,SPRITES DE MAPA Y TARJETAS DE CLASE,KARTEN-SPRITES & EIGENE KLASSENKARTEN,マップスプライト＆カスタムクラスカード,SPRITES DE CARTE & CARTES DE CLASSE,SPRITE DELLE MAPPE & CARTE DELLE CLASSI,
CRADDITIONALSPRITINGRESOURCES,ADDITIONAL SPRITING RESOURCES,RECURSOS DE SPRITES ADICIONALES,WEITERE SPRITE-RESSOURCEN,追加スプライト素材,RESSOURCES DE SPRITES SUPPL.,RISORSE DI SPRITE AGGIUNTIVE,
CRCUSTOMITEMSPRITES,CUSTOM ITEM SPRITES,SPRITES DE OBJETOS PERSONALIZADOS,EIGENE GEGENSTANDS-SPRITES,カスタムアイテムスプライト,SPRITES D'OBJETS PERSONNALISÉS,SPRITE DEGLI OGGETTI PERSONALIZZATI,
CRPORTRAITDESIGN,PORTRAIT DESIGN,DISEÑO DE RETRATOS,PORTRÄTDESIGN,顔グラフィックデザイン,CONCEPTION DES PORTRAITS,DESIGN DEI RITRATTI,
CRCUSTOMCOMBATANIMATIONS,CUSTOM COMBAT ANIMATIONS,ANIMACIONES DE COMBATE PERSONALIZADAS,EIGENE KAMPFANIMATIONEN,カスタム戦闘アニメーション,ANIMATIONS DE COMBAT PERSONNALISÉES,ANIMAZIONI DI COMBATTIMENTO PERSONALIZZATE,
CRWRITINGTRANSLATIONS,WRITING & TRANSLATIONS,GUION Y TRADUCCIONES,TEXT & ÜBERSETZUNGEN,文章 & 翻訳,TEXTES & TRADUCTIONS,TESTI & TRADUZIONI,
CRMUSIC,MUSIC,MÚSICA,MUSIK,音楽,MUSIQUE,MUSICA,
CRBUILTWITH,BUILT WITH,CREADO CON,ERSTELLT MIT,使用ツール,CRÉÉ AVEC,REALIZZATO CON,
