,en,es,de,ja,fr,it,pt
PLACE_JUGDRAL,Jugdral,Jugdral,Jugdral,ユグドラル,Jugdral,Jugdral,Jugdral
PLACE_GRANNVALE,Grannvale,Grannvale,Grannvale,グランベル,Grannvale,Grannvale,Grannvale
PLACE_BELHALLA,Belhalla,Barhara,Belhalla,バーハラ,Belhalla,Belhalla,Belhalla
PLACE_CHALPHY,Chalphy,Chalphy,Chalphy,シアルフィ,Chalphy,Chalphy,Chalphy
PLACE_VELTHOMER,Velthomer,Velthomer,Velthomer,ヴェルトマー,Velthomer,Velthomer,Velthomer
PLACE_JUNGBY,Jungby,Yngvi,Yngvi,ユングヴィ,Yngvi,Yngvi,Jungby
PLACE_FRIEGE,Friege,Friege,Friege,フリージ,Friege,Friege,Friege
PLACE_DOZEL,Dozel,Dozel,Dozel,ドズル,Dozel,Dozel,Dozel
PLACE_EDDA,Edda,Edda,Edda,エッダ,Edda,Edda,Edda
PLACE_VERDANE,Verdane,Verdane,Verdane,ヴェルダン,Verdane,Verdane,Verdane
PLACE_EVANS,Evans,Evans,Evans,エバンス,Evans,Evans,Evans
PLACE_GENOA,Genoa,Genoa,Genoa,ジェノア,Genoa,Genoah,Genoa
PLACE_MARPHA,Marpha,Marpha,Marpha,マーファ,Marpha,Marpha,Marpha
PLACE_AGUSTRIA,Agustria,Agustria,Agustria,アグストリア,Agustria,Agustria,Agustria
PLACE_NORDION,Nordion,Nordion,Nordion,ノディオン,Nordion,Nordion,Nordion
PLACE_HEIRHEIN,Heirhein,Heirhein,Heirhein,ハイライン,Heirhein,Heirhein,Heirhein
PLACE_ANPHONY,Anphony,Anphony,Anphony,アンフォニー,Anphony,Anphony,Anphony
PLACE_MACKILY,Mackily,Mackily,Mackily,マッキリー,Mackily,Mackily,Mackily
PLACE_AGUSTY,Agusty,Agusty,Agusty,アグスティ,Agusty,Agusty,Agusty
PLACE_MADINO,Madino,Madino,Madino,マディノ,Madino,Madino,Madino
PLACE_SILVAIL,Silvail,Silvail,Silvail,シルベール,Silvail,Silvail,Silvail
PLACE_ORGAHIL,Orgahil,Orgahil,Orgahil,オーガヒル,Orgahil,Orgahil,Orgahil
PLACE_TOWEROFBRAGI,Tower of Bragi,Torre de Bragi,Turm des Bragi,ブラギの塔,Tour de Bragi,Torre di Bragi,Tower of Bragi
PLACE_SILESSE,Silesse,Silesse,Silesse,シレジア,Silesse,Silesse,Silesse
PLACE_SAILANE,Sailane,Sailane,Sailane,セイレーン,Sailane,Sailane,Sailane
PLACE_THOVE,Thove,Tófa,Tófa,トーヴェ,Tófa,Tófa,Thove
PLACE_ZAXON,Zaxon,Zaxon,Zaxon,ザクソン,Zaxon,Zaxon,Zaxon
PLACE_LUBECK,Lubeck,Lubeck,Lubeck,リューベック,Lubeck,Lubeck,Lubeck
PLACE_YIEDDESERT,Yied Desert,Desierto de Aed,Wüste von Aed,イード砂漠,Désert d'Aed,Deserto di Aed,Yied Desert
PLACE_PHINORA,Phinora,Phinora,Phinora,フィノーラ,Phinora,Phinora,Phinora
PLACE_ISAACH,Isaach,Isaach,Isaach,イザーク,Isaach,Isaach,Isaach
PLACE_TIRNANOG,Tirnanog,Tirnanog,Tirnanog,ティルナノグ,Tirnanog,Tirnanog,Tirnanog
PLACE_GANEISHIRE,Ganeishire,Ganeishire,Ganeishire,ガネーシャ,Ganeishire,Ganeishire,Ganeishire
PLACE_SOPHARA,Sophara,Sofala,Sofala,ソファラ,Sofala,Sofala,Sophara
PLACE_RIVOUGH,Rivough,Ribaut,Ribaut,リボー,Ribaut,Ribaut,Rivough
PLACE_DAHNA,Dahna,Dahna,Dahna,ダーナ,Dahna,Dahna,Dahna
PLACE_MELGEN,Melgen,Melgen,Melgen,メルゲン,Melgen,Melgen,Melgen
PLACE_MANSTERDISTRICT,Manster District,Manster District,Manster District,マンスター地方,Manster District,Manster District,Manster District
PLACE_LEONSTER,Leonster,Leonster,Leonster,レンスター,Leonster,Leonster,Leonster
PLACE_ULSTER,Ulster,Ulster,Ulster,アルスター,Ulster,Ulster,Ulster
PLACE_CONNAUGHT,Connaught,Connaught,Connaught,コノート,Connaught,Connaught,Connaught
PLACE_MANSTER,Manster,Munster,Munster,マンスター,Munster,Munster,Manster
PLACE_THRACIA,Thracia,Thracia,Thracia,トラキア,Thracia,Thracia,Thracia
PLACE_MEATH,Meath,Meath,Meath,ミーズ,Meath,Meath,Meath
PLACE_KAPATHOGIA,Kapathogia,Kapathogia,Kapathogia,カパトギア,Kapathogia,Kapathogia,Kapathogia
PLACE_LUTHECIA,Luthecia,Luthecia,Luthecia,ルテキア,Luthecia,Luthecia,Luthecia
PLACE_GRUTIA,Grutia,Grutia,Grutia,グルティア,Grutia,Grutia,Grutia
PLACE_MILETOS,Miletos,Miletos,Miletos,ミレトス,Miletos,Miletos,Miletos
PLACE_PERLUCOS,Perlucos,Perlucos,Perlucos,ペルルーク,Perlucos,Perlucos,Perlucos
PLACE_CHRONOS,Chronos,Chronos,Chronos,クロノス,Chronos,Chronos,Chronos
PLACE_RADOS,Rados,Rados,Rados,ラドス,Rados,Rados,Rados
PLACE_BRAGITOWER,Bragi Tower,Torre de Bragi,Turm des Bragi,ブラギの塔,Tour de Bragi,Torre di Bragi,Bragi Tower
PLACE_TAHRA,Tahra,Tahra,Tahra,ターラ,Tahra,Tahra,Tahra
PLACE_KELBETH,Kelbeth,Kelbeth,Kelbeth,ケルベス,Kelbeth,Kelbeth,Kelbeth
PLACE_NOWELLVALLEY,Nowell Valley,Nowell Valley,Nowell Valley,ノエル渓谷,Nowell Valley,Nowell Valley,Nowell Valley
PLACE_FIANA,Fiana,Fiana,Fiana,フィアナ,Fiana,Fiana,Fiana
PLACE_MOUNTVIOLDRAKE,Mount Violdrake,Mte. Violdrake,Mt. Violdrake,紫竜山,Mount Violdrake,Mount Violdrake,Mount Violdrake
PLACE_IZ,Iz,Iz,Iz,イス,Iz,Iz,Iz
PLACE_NORDEN,Norden,Norden,Norden,ノルデン,Norden,Norden,Norden
